pin_no,roomName,floor,captureCount,roomCapturePointId,modelRoomId,xMeters,currentY,zMeters,targetY,yOffset,currentLevelId(phantom),correctLevelId(realL00),action
1,DC - 0G - FFL_PH2-L00-MB-DATAHALL 1.1,L00,52,00b5344c-57a1-4e87-a0fe-df1bbbf68961,64891c84-5e5c-4669-829f-bd2d90b0e126,75.931,50.4,-16.768,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
2,DC - 0G - FFL_PH2-L00-MB-CORRIDOR H.2,L00,51,9bbc0cea-415f-49e2-b0e5-48baf9f6655e,32d88952-915b-47bf-ba34-aa79b167d3f3,62.291,50.4,-41.424,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
3,DC - 0G - FFL_PH2-L00-MB-CORRIDOR K.1,L00,51,d408b55f-9e91-4ecf-a40b-74208232e81f,d61e84e5-b702-48bb-9463-3be2652969d5,101.773,50.4,-6.159,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
4,DC - 0G - FFL_PH2-L00-MB-CORRIDOR R2,L00,51,e729eae3-5e72-4680-bcc1-e9a4fd5c3bfa,bfa7801b-a03c-462e-9f22-18362b0e2fab,88.162,50.4,-50.153,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
5,DC - 0G - FFL_PH2-L00-MB-PRIMARY COP_K,L00,51,60dd2c61-6657-4372-86f0-665ae5ebe5bc,cfdf27fa-d848-47d1-a516-0328d2eadde7,109.223,50.4,-29.733,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
6,DC - 0G - FFL_PH2-L00-MB-CORRIDOR NORTH,L00,50,adae82f2-5450-489d-9c3b-ab895220d82b,853b36b3-385e-4c0c-b7fd-fa1c04291bce,92.985,50.4,-6.303,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
7,DC - 0G - FFL_PH2-L00-MB-DATAHALL 2.1,L00,50,e7544552-b78e-4427-8aed-5593c94a1687,f11f8792-760f-4436-b6ce-eefdb2d30e5e,93.607,50.4,-17.891,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
8,DC - 0G - FFL_PH2-L00-MB-CORRIDOR H.1,L00,49,4af3bd1d-1a54-4b00-9168-bf643deb07e7,a056989f-4814-400a-9b46-602e28b40efe,62.421,50.4,-13.102,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
9,DC - 0G - FFL_PH2-L00-MB-CORRIDOR K.2,L00,49,2aa9734d-2cf6-4168-aa49-781da078e19f,92b6e099-c44c-4c16-9c36-fe7657eae108,105.747,50.4,-37.313,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
10,DC - 0G - FFL_PH2-L00-MB-MSB_H,L00,49,05cae6e9-e217-4eb4-8b05-c4e003b389a6,6a82904d-7cf0-41f8-9349-056e0f5583a0,59.385,50.4,-24.796,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
11,DC - 0G - FFL_PH2-L00-MB-MSB_K,L00,49,943e39d9-383a-49fd-b6f4-d078d161453e,def3b49e-b28d-4478-957a-228135bbf5b7,108.779,50.4,-21.134,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
12,DC - 0G - FFL_PH2-L00-MB-SECONDARY COP_K,L00,49,3be306d5-237c-4cd1-9043-04b04d437850,56239033-3c51-4e04-b3f4-1b8c2f728523,108.98,50.4,-37.107,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
13,DC - 0G - FFL_PH2-L00-MB-SPRINKLER VALVE ROOM 02,L00,49,34c97918-3289-4623-be01-7d3d3aab9d20,74db3e39-4e14-4d19-bf80-0c1ee054d9af,59.232,50.4,-49.679,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
14,DC - 0G - FFL_PH1-L00-FOH-CUSTOMER AVAILABLE SPACE 02,L00,48,9ca87b9f-8e3d-4d03-a109-01d7bbdd7eae,d959bf30-5de6-445b-995e-744a5b4c61cc,62.379,50.4,3.123,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
15,DC - 0G - FFL_PH2-L00-MB-SECONDARY COP_H,L00,48,27adbecb-7187-4d18-9670-6b5843318cdb,64b6cf8c-571b-4eab-a268-f4f4cf84fabb,59.258,50.4,-8.287,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
16,DC - 0G - FFL_PH1-L00-FOH-CORRIDOR 122,L00,47,80426fc9-d9e0-498e-8368-7cc86219d65a,aaa291fc-0056-45bf-9ed2-c85ab0f83b85,47.575,50.4,1.758,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
17,DC - 0G - FFL_PH1-L00-FOH-SECURITY LOBBY,L00,47,f2570101-3ff3-45bd-9b8f-aa893c30f7ab,0f35a014-742d-469e-bf82-4fc94289c6d5,88.625,50.4,6.25,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
18,DC - 0G - FFL_PH1-L00-FOH-CUSTOMER AVAILABLE SPACE 03,L00,46,47a1f3c3-9497-45cf-9f11-cddd395e44b3,d1101a30-7f6d-478a-8027-550e1f92b7d2,66.855,50.4,7.259,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
19,DC - 0G - FFL_PH2-L00-MB-PRIMARY COP_H,L00,46,5d2f3c79-6663-41e3-8dc7-22da84e7ed0e,ee13845b-fa0c-453a-876d-d353e5cdd241,59.226,50.4,-15.126,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
20,DC - 0G - FFL_PH1-L00-FOH-MEETING ROOM 1,L00,44,bea1e8b3-cffd-4edc-921c-4a15c36f22e4,6e4018a1-c8d2-4497-9cf2-c046bc4b6d79,73.481,50.4,7.241,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
21,DC - 0G - FFL_PH1-L00-FOH-CUSTOMER AVAILABLE SPACE 01,L00,43,0aa81db3-8959-4d31-9832-fdba8f2a95a9,4cb8d09a-df9a-4430-848a-5614102e2168,47.96,50.4,5.866,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
22,DC - 0G - FFL_PH2-L00-MB-EWALL TRANSFORMER H,L00,42,addf936c-5ccb-4a0a-b9c4-6473a0e0dbfa,a0fad07c-cb88-4277-867e-dd9894816511,59.268,50.4,-38.033,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
23,DC - 0G - FFL_PH1-L00-FOH-SHIPPING & RECEIVING,L00,41,bc8bcb23-73ad-4ad1-9bee-c38465ade8af,5a26f216-a0e3-45d9-bb7b-e7b840e9b3dd,29.243,50.4,6.323,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
24,DC - 0G - FFL_PH2-L00-MB-CENTRAL CORRIDOR EAST,L00,39,aa8ebbec-f013-4778-9c91-ef4f3a4d743a,bfd67772-978c-4dd1-931c-7b3de08e654b,85.11,50.4,-32.453,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
25,DC - 0G - FFL_PH2-L00-MB-EWALL TRANSFORMER K,L00,39,229435e9-e03c-4e7d-aa77-c6028af3c17a,8c4a4de1-38d2-4949-9c2c-2fd20c9ee8ad,108.834,50.4,-7.149,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
26,DC - 0G - FFL_PH1-L00-MB-CORRIDOR 124,L00,37,94ee74c0-4a46-4ca1-a6e0-38bb008d4e42,73fc78a4-aab3-4603-bd79-b706331b5b12,57.89,50.4,-2.775,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
27,DC - 0G - FFL_PH1-L00-MB-FIBRE ENTRY ROOM 4,L00,35,c563afab-4803-42fc-852a-6dc80e48ab91,3e40d4ac-8115-4ff1-9174-a567b94c8f29,105.106,50.4,-2.424,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
28,DC - 0G - FFL_PH1-L00-FOH-SECURITY ROOM 2,L00,33,37baec5e-97df-4fd7-b0f8-fea32d50add5,47211170-efb6-4d47-99cb-1e169789f54d,80.412,50.4,7.406,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
29,DC - 0G - FFL_PH1-L00-MB-NETWORK ENTRY 2,L00,33,187421b1-6769-4897-97b2-eac4a2196f97,be2216aa-516d-4257-aef6-86910ec45d13,98.503,50.4,-1.725,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
30,DC - 0G - FFL_PH2-L00-MB-BBU STORAGE K,L00,31,9fc55c5d-954c-404c-bc0a-03bab8431b6a,0abf4dcb-0e8d-405f-a080-2e545806beae,109.167,50.4,-12.794,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
31,DC - 0G - FFL_PH2-L00-MB-CATCHER UPS R2,L00,31,fa989e2a-eff8-4aa3-8659-aa866445761f,67862a10-7f1b-4c97-9e8c-2763d0200068,89.647,50.4,-53.107,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
32,DC - 0G - FFL_PH2-L00-MB-BBU STORAGE H,L00,28,f1cc70d0-1910-4860-9424-fe48cf4b1f12,4c4bd6eb-e6f8-4f68-b640-1ba0544ad4f0,59.305,50.4,-32.319,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
33,DC - 0G - FFL_PH1-L00-MB-MSB_A,L00,24,8f45fa98-3946-463f-af92-10bc7b256fb3,f4fd1f66-e69b-4d7e-9f7e-e07b6051564e,1.725,50.4,-24.424,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
34,DC - 0G - FFL_PH2-L00-MB-CATCHER TRANSFORMER R2,L00,23,34dc985b-811f-4b96-8afd-319d2e3c3845,a2d6aa34-1b24-435e-8385-1f24b03a6a27,73.095,50.4,-52.816,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
35,DC - 0G - FFL_PH2-L00-MB-WATER PUMP ROOM 02,L00,23,4f5bf187-6bef-48c0-95d6-2dbbf485dbed,01c84724-3122-4c68-aa9d-2f7810c76bd5,109.267,50.4,-48.681,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
36,DC - 0G - FFL_PH1-L00-MB-MSB_D,L00,22,a664be9b-b007-4695-8db6-26846781fd6d,b0972335-a333-41ac-9d00-631404c190aa,50.686,50.4,-21.046,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
37,DC - 0G - FFL_PH2-L00-MB-FIBRE ENTRY ROOM 03,L00,22,49293340-80fb-41b7-ad73-92e92e8e2800,71e7aeac-5363-4ca9-b069-77fac8e7308c,59.449,50.4,-44.977,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
38,DC - 0G - FFL_PH2-L00-MB-CATCHER BATTERY R2,L00,21,25a94c73-5c6d-4500-9984-155ccc8181f1,cb3e53e6-da23-48bf-9aca-aa0b6ba7513b,76.879,50.4,-52.899,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
39,DC - 0G - FFL_PH1-L00-FOH-SECURITY ROOM 3,L00,20,40cebdf8-ca13-4e66-95c2-20b12a2ad36a,99ee316e-a6a0-4740-95a9-2f5fc2ec5876,83.292,50.4,7.623,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
40,DC - 0G - FFL_PH1-L00-MB-CORRIDOR A.1,L00,14,34d200bb-7e2d-489f-bae3-f1b316af56fb,3523278b-d3bf-480a-b187-6cafcc39b90e,4.687,50.4,-9.15,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
41,DC - 0G - FFL_PH1-L00-MB-CORRIDOR D.1,L00,14,1bea1985-5e9d-441f-a21d-1cd130fd4818,0adb30f9-ec26-4358-acdb-13e2efc7bfa0,48.399,50.4,-17.263,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
42,DC - 0G - FFL_PH1-L00-MB-CORRIDOR FOH,L00,14,7937b44a-1419-48ec-b0bf-93c84cd200de,45830206-5d10-4cc3-a8cb-8b17b4a7db48,33.049,50.4,-6.089,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
43,DC - 0G - FFL_PH1-L00-MB-DATAHALL 1.1,L00,14,178e0648-9055-419b-b70c-8f8e3890371d,feabea65-3588-4d44-8a93-5373d4c083b7,16.01,50.4,-19.178,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
44,DC - 0G - FFL_PH1-L00-MB-DATAHALL 2.1,L00,14,81069c4a-e8fd-4450-8807-ab6a2dafdb50,7b9fcc88-ee39-4404-ad1b-5e5e1dadb955,36.88,50.4,-18.167,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
45,DC - 0G - FFL_PH1-L00-MB-PRIMARY COP_A,L00,14,38cfd133-9987-4337-b65b-7ed03d49e0d3,0c95c6e6-735c-4648-9bc1-a43f9d386658,1.756,50.4,-15.412,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
46,DC - 0G - FFL_PH1-L00-MB-PRIMARY COP_D,L00,14,c09c5097-b686-450d-9d18-8c028ed141a2,ee10e144-cb7f-47bc-9b68-15857d5834a2,50.962,50.4,-30.253,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
47,DC - 0G - FFL_PH1-L00-MB-SECONDARY COP_A,L00,14,36e87ba9-a2b9-4ca0-b0b1-cc1d7dea57dc,d21e1c06-d41b-4122-a817-c5924d2ef1a8,1.543,50.4,-9.637,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
48,DC - 0G - FFL_PH1-L00-FOH-SECURITY ROOM 1,L00,13,354069a8-ea34-4e7f-b3dd-1f15fb37dab4,3e3ba657-fdf5-4fee-91a2-763e8301c8ba,76.522,50.4,7.623,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
49,DC - 0G - FFL_PH1-L00-MB-BBU STORAGE D,L00,13,39d7e937-31f3-4ad6-9e62-9466a4005e86,eeb34c16-eaab-4eed-944a-b84d5b0be5c2,50.962,50.4,-13.609,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
50,DC - 0G - FFL_PH1-L00-MB-CATCHER UPS R1,L00,13,150c88e0-7fbe-4d47-ac2f-75becb28a628,0ffeb775-e511-4c65-80b9-a0f15302e61a,29.646,50.4,-52.543,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
51,DC - 0G - FFL_PH1-L00-MB-CORRIDOR R1,L00,13,7c92e21d-98b0-4cc4-9c76-da3040917048,8b2120ec-ba83-43f4-ab18-79a8495851d0,18.705,50.4,-49.367,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
52,DC - 0G - FFL_PH1-L00-MB-CATCHER BATTERY R1,L00,12,da5c514a-2be2-43a4-8319-376559fef60c,d6553a29-fdde-4862-ac79-a07b2bd6d739,13.499,50.4,-53.029,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
53,DC - 0G - FFL_PH1-L00-MB-SECONDARY COP_D,L00,12,d2782473-ccf2-4eb9-8a6f-1a3526c9ba1d,aa4f3fed-65ca-459e-8523-5817a6678436,51.18,50.4,-37.673,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
54,DC - 0G - FFL_PH1-L00-MB-CORRIDOR A.2,L00,11,b9d6e608-279d-4a82-adfe-30bc9feacee5,469c4cd3-919d-4166-b23e-0e5ff948b567,4.621,50.4,-42.804,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
55,DC - 0G - FFL_PH1-L00-MB-CORRIDOR D.2,L00,11,50d0d7df-9a5e-4fd1-a3b1-38df9cdc526e,0c034176-3005-4baf-8da2-412639d300f0,41.579,50.4,-49.669,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
56,DC - 0G - FFL_PH1-L00-FOH-CORRIDOR 121,L00,9,047b01df-33b4-476e-814b-0bf23c5297ba,59718d71-e160-484e-9282-d620dd4ea9d5,17.248,50.4,0.994,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
57,DC - 0G - FFL_PH1-L00-MB-CENTRAL CORRIDOR EAST,L00,9,b00e00b5-5a3d-46a3-b136-99da977ef07b,3f5f576a-ef41-497c-9b17-15ccb637df79,27.248,50.4,-30.701,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
58,DC - 0G - FFL_PH1-L00-MB-EWALL TRANSFORMER D,L00,8,61fbe685-25df-4c1c-8557-0cda7d7bb51e,c959ec9c-95e6-4622-8c37-7814a1ebd38d,51.312,50.4,-7.505,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
59,DC - 0G - FFL_PH2-L00-MB-CENTRAL CORRIDOR WEST,L00,8,0f2c6821-a8d2-48e5-9c59-67023a2029e1,bbff133c-ff87-4135-a245-6319b6d62a04,82.981,50.4,-24.537,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
60,DC - 0G - FFL_PH1-L00-MB-FIBRE ENTRY ROOM 1,L00,7,f0727c6d-ba76-42b7-9c80-3d44f007ce3c,fc9f0629-55b2-45f3-8e17-7f587fd39711,4.366,50.4,-1.656,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
61,DC - 0G - FFL_PH1-L00-MB-BBU STORAGE A,L00,6,ae817402-3b26-4321-adf1-af3fb0311dbc,b0fee178-cbb6-4f88-8a00-6efe48761a05,1.733,50.4,-32.805,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
62,DC - 0G - FFL_PH1-L00-MB-NETWORK ENTRY 1,L00,6,d8404a43-e229-4894-a821-fae6ca9cdd33,157a8d27-824c-45ac-a580-c120fcb39fb1,12.17,50.4,-1.9,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
63,DC - 0G - FFL_PH1-L00-MB-CATCHER TRANSFORMER R1,L00,5,9ed136e2-3104-4cf3-a59e-e78720485257,872ab70f-bac3-45c7-9368-c5bc40a23353,9.257,50.4,-53.07,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
64,DC - 0G - FFL_PH1-L00-MB-EWALL TRANSFORMER  A,L00,5,888b7942-34d7-414e-9579-21220d31ef6a,8cf97011-1ef9-4c26-86ff-8572e99a1186,1.951,50.4,-38.115,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
65,DC - 0G - FFL_PH1-L00-MB-FIBRE ENTRY ROOM 02,L00,5,340ad7c1-2f22-47a3-8fbe-7609252b027b,cec5063a-9ad0-4238-8d3d-841f904cee5a,51.398,50.4,-45.466,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
66,DC - 0G - FFL_PH1-L00-MB-SPRINKLER VALVE ROOM 01,L00,5,f5e2eef5-af47-4e89-8d65-8e486dab5f78,1710f1b3-329d-46db-8977-020d33467de6,51.296,50.4,-49.659,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
67,DC - 0G - FFL_PH1-L00-MB-WATER PUMP ROOM 01,L00,5,f9a4ae5c-0677-4727-a195-fabcd3ebb391,05b43838-4085-4963-9918-8900a5aea276,1.827,50.4,-47.94,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
68,DC - 0G - FFL_PH2-L00-MB-CICO ROOM 3,L00,5,3f179c51-976f-474a-bf71-57b2f9945462,7dddabf9-3538-4e5e-8730-105919594ff2,64.988,50.4,-9.015,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
69,DC - 0G - FFL_PH2-L00-MB-CICO ROOM 4,L00,3,f8adf9dc-d156-428a-9040-d35df7359d14,17b565fa-cddf-4f9b-bc32-b53f7a155bbe,103.406,50.4,-9.228,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
70,DC - 0G - FFL_PH1-L00-MB-CENTRAL CORRIDOR WEST,L00,2,3ce44959-0f83-4862-8681-96c00437c4dc,488025d9-ae0c-4bee-a1bf-1cf87af8327f,25.361,50.4,-24.243,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
71,DC - 0G - FFL_PH1-L00-MB-CICO ROOM 1,L00,2,2f313755-e5cf-4711-86e1-5711c472effc,203d0408-671e-4a90-85f0-4fde5fea5b0b,7.093,50.4,-8.842,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
72,DC - 0G - FFL_PH1-L00-MB-CICO ROOM 2,L00,2,b1478d50-18c2-4046-a58e-913b49bea0de,a8866bd0-055d-4598-afc3-dd8a87035910,45.964,50.4,-8.628,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
73,DC - 0G - FFL_PH1-L00-FOH-CORRIDOR 125,L00,1,ea69d455-c33b-41a1-9b54-80ad3c6e34e1,83098f09-5e54-4e5a-a9b6-26e13dfff521,93.075,50.4,1.342,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
74,DC - 0G - FFL_PH1-L00-FOH-MEETING ROOM 2,L00,1,15a9a1cb-fc74-48ec-a6d1-f4100fb236a2,c659649d-febe-4bea-89ec-7d885c1d7059,83.759,50.4,-2.442,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
75,DC - 0G - FFL_PH1-L00-FOH-WC 2,L00,1,c304c4f8-4215-496f-a4dd-531f8f240f94,31648df0-f0c6-45d1-a13d-55e6a5493462,86.587,50.4,-2.609,0.0,-50.4,f0f4d409-c2b4-42cf-a8a9-c9497aecb3f7,7026451f,set Y=0.0 (offset -50.4) OR reparent room to real L00 level
